No TMNo EnNo Name      GMNo Mode DateTime            
54  1    2    yator     2    1    2025/08/04          12:10:20
55  1    2    yator     1    0    2025/08/04          13:15:35
56  1    2    yator     2    1    2025/08/04          16:55:40
57  1    2    yator     1    0    2025/08/05          08:15:05
58  1    2    yator     2    1    2025/08/05          12:20:10
59  1    2    yator     1    0    2025/08/05          13:10:45
60  1    2    yator     2    1    2025/08/05          17:15:20
61  1    2    yator     1    0    2025/08/06          08:05:40
62  1    2    yator     2    1    2025/08/06          12:15:25
63  1    2    yator     1    0    2025/08/06          13:05:30
64  1    2    yator     2    1    2025/08/06          17:10:15
65  1    2    yator     1    0    2025/08/07          08:20:15
66  1    2    yator     2    1    2025/08/07          12:05:55
67  1    2    yator     1    0    2025/08/07          13:10:40
68  1    2    yator     2    1    2025/08/07          17:05:30
69  1    2    yator     1    0    2025/08/08          08:10:10
70  1    2    yator     2    1    2025/08/08          12:10:35
71  1    2    yator     1    0    2025/08/08          13:05:50
72  1    2    yator     2    1    2025/08/08          17:15:40
73  1    2    yator     1    0    2025/08/11          08:35:25
74  1    2    yator     2    1    2025/08/11          12:05:50
75  1    2    yator     1    0    2025/08/11          13:10:15
76  1    2    yator     2    1    2025/08/11          16:55:10
77  1    2    yator     1    0    2025/08/12          08:10:35
78  1    2    yator     2    1    2025/08/12          12:15:20
79  1    2    yator     1    0    2025/08/12          13:05:45
80  1    2    yator     2    1    2025/08/12          17:10:30
81  1    3    lanterna  1    0    2025/08/01          08:05:50
82  1    3    lanterna  2    1    2025/08/01          12:10:15
83  1    3    lanterna  1    0    2025/08/01          13:05:25
84  1    3    lanterna  2    1    2025/08/01          17:00:40
85  1    3    lanterna  1    0    2025/08/04          08:20:30
86  1    3    lanterna  2    1    2025/08/04          12:15:10
87  1    3    lanterna  1    0    2025/08/04          13:10:45
88  1    3    lanterna  2    1    2025/08/04          16:50:55
89  1    3    lanterna  1    0    2025/08/05          08:10:40
90  1    3    lanterna  2    1    2025/08/05          12:20:25
91  1    3    lanterna  1    0    2025/08/05          13:05:50
92  1    3    lanterna  2    1    2025/08/05          17:05:35
93  1    3    lanterna  1    0    2025/08/06          08:15:25
94  1    3    lanterna  2    1    2025/08/06          12:05:40
95  1    3    lanterna  1    0    2025/08/06          13:10:15
96  1    3    lanterna  2    1    2025/08/06          17:15:20
97  1    3    lanterna  1    0    2025/08/07          08:05:15
98  1    3    lanterna  2    1    2025/08/07          12:10:20
99  1    3    lanterna  1    0    2025/08/07          13:05:35
100 1    3    lanterna  2    1    2025/08/07          17:00:10
101 1    3    lanterna  1    0    2025/08/08          08:15:40
102 1    3    lanterna  2    1    2025/08/08          12:05:25
103 1    3    lanterna  1    0    2025/08/08          13:10:50
104 1    3    lanterna  2    1    2025/08/08          17:05:15
105 1    3    lanterna  1    0    2025/08/11          08:25:20
106 1    3    lanterna  2    1    2025/08/11          12:10:35
107 1    3    lanterna  1    0    2025/08/11          13:05:45
108 1    3    lanterna  2    1    2025/08/11          16:55:25
109 1    3    lanterna  1    0    2025/08/12          08:10:15
110 1    3    lanterna  2    1    2025/08/12          12:15:40
111 1    3    lanterna  1    0    2025/08/12          13:10:10
112 1    3    lanterna  2    1    2025/08/12          17:05:50
