No	TMNo	EnNo	Name	GMNo	Mode	DateTime
57	1	3		0	0	2025/09/05 08:20:39
58	1	3		1	1	2025/09/05 12:50:49
59	1	3		2	0	2025/09/05 13:33:06
60	1	3		3	1	2025/09/05 17:33:06
61	1	1		0	0	2025/09/06 08:26:55
62	1	1		1	1	2025/09/06 12:21:14
63	1	1		2	0	2025/09/06 13:31:16
64	1	1		3	1	2025/09/06 17:31:16
65	1	2		0	0	2025/09/06 08:14:24
66	1	2		1	1	2025/09/06 13:21:04
67	1	2		2	0	2025/09/06 13:44:43
68	1	2		3	1	2025/09/06 17:44:43
69	1	3		0	0	2025/09/06 08:12:06
70	1	3		1	1	2025/09/06 12:09:48
71	1	3		2	0	2025/09/06 13:39:07
72	1	3		3	1	2025/09/06 17:39:07
73	1	1		0	0	2025/09/07 08:12:28
74	1	1		1	1	2025/09/07 12:14:08
75	1	1		2	0	2025/09/07 13:03:56
76	1	1		3	1	2025/09/07 16:03:56
77	1	2		0	0	2025/09/07 07:57:56
78	1	2		1	1	2025/09/07 12:05:24
79	1	2		2	0	2025/09/07 13:49:32
80	1	2		3	1	2025/09/07 16:49:32
81	1	3		0	0	2025/09/07 08:24:12
82	1	3		1	1	2025/09/07 13:24:48
83	1	3		2	0	2025/09/07 13:51:31
84	1	3		3	1	2025/09/07 15:51:31
85	1	1		0	0	2025/09/08 08:10:38
86	1	1		1	1	2025/09/08 13:23:55
87	1	1		2	0	2025/09/08 13:31:06
88	1	1		3	1	2025/09/08 17:31:06
89	1	2		0	0	2025/09/08 08:02:17
90	1	2		1	1	2025/09/08 12:40:34
91	1	2		2	0	2025/09/08 12:52:38
92	1	2		3	1	2025/09/08 15:52:38
93	1	3		0	0	2025/09/08 08:17:33
94	1	3		1	1	2025/09/08 12:05:06
95	1	3		2	0	2025/09/08 12:31:07
96	1	3		3	1	2025/09/08 14:31:07
97	1	1		0	0	2025/09/09 07:59:32
98	1	1		1	1	2025/09/09 12:32:10
99	1	1		2	0	2025/09/09 12:55:03
100	1	1		3	1	2025/09/09 15:55:03
101	1	2		0	0	2025/09/09 08:09:02
102	1	2		1	1	2025/09/09 13:04:56
103	1	2		2	0	2025/09/09 13:58:59
104	1	2		3	1	2025/09/09 15:58:59
105	1	3		0	0	2025/09/09 08:03:54
106	1	3		1	1	2025/09/09 12:21:36
107	1	3		2	0	2025/09/09 13:16:36
108	1	3		3	1	2025/09/09 15:16:36
109	1	1		0	0	2025/09/10 08:16:24
110	1	1		1	1	2025/09/10 13:01:44
111	1	1		2	0	2025/09/10 13:11:42
112	1	1		3	1	2025/09/10 17:11:42
113	1	2		0	0	2025/09/10 08:06:08
114	1	2		1	1	2025/09/10 13:11:17
115	1	2		2	0	2025/09/10 13:46:59
116	1	2		3	1	2025/09/10 16:46:59
117	1	3		0	0	2025/09/10 08:16:39
118	1	3		1	1	2025/09/10 12:44:00
119	1	3		2	0	2025/09/10 13:43:30
120	1	3		3	1	2025/09/10 16:43:30
121	1	1		0	0	2025/09/11 08:13:33
122	1	1		1	1	2025/09/11 12:41:49
123	1	1		2	0	2025/09/11 13:06:08
124	1	1		3	1	2025/09/11 16:06:08
125	1	2		0	0	2025/09/11 08:08:01
126	1	2		1	1	2025/09/11 13:08:19
127	1	2		2	0	2025/09/11 13:52:49
128	1	2		3	1	2025/09/11 17:52:49
129	1	3		0	0	2025/09/11 08:16:27
130	1	3		1	1	2025/09/11 13:00:32
131	1	3		2	0	2025/09/11 13:11:27
132	1	3		3	1	2025/09/11 15:11:27
133	1	1		0	0	2025/09/12 08:05:22
134	1	1		1	1	2025/09/12 13:25:20
135	1	1		2	0	2025/09/12 13:38:35
136	1	1		3	1	2025/09/12 17:38:35
137	1	2		0	0	2025/09/12 08:20:16
138	1	2		1	1	2025/09/12 12:40:36
139	1	2		2	0	2025/09/12 13:32:35
140	1	2		3	1	2025/09/12 16:32:35
141	1	3		0	0	2025/09/12 07:50:03
142	1	3		1	1	2025/09/12 12:27:57
143	1	3		2	0	2025/09/12 12:33:30
144	1	3		3	1	2025/09/12 14:33:30
145	1	1		0	0	2025/09/13 08:18:52
146	1	1		1	1	2025/09/13 12:53:07
147	1	1		2	0	2025/09/13 13:14:47
148	1	1		3	1	2025/09/13 16:14:47
149	1	2		0	0	2025/09/13 07:56:21
150	1	2		1	1	2025/09/13 13:15:55
151	1	2		2	0	2025/09/13 13:52:37
152	1	2		3	1	2025/09/13 16:52:37
153	1	3		0	0	2025/09/13 08:19:05
154	1	3		1	1	2025/09/13 13:14:07
155	1	3		2	0	2025/09/13 13:54:08
156	1	3		3	1	2025/09/13 16:54:08
157	1	1		0	0	2025/09/14 08:27:09
158	1	1		1	1	2025/09/14 12:25:42
159	1	1		2	0	2025/09/14 13:52:48
160	1	1		3	1	2025/09/14 16:52:48
161	1	2		0	0	2025/09/14 07:57:29
162	1	2		1	1	2025/09/14 13:28:38
163	1	2		2	0	2025/09/14 13:31:35
164	1	2		3	1	2025/09/14 15:31:35
165	1	3		0	0	2025/09/14 07:54:51
166	1	3		1	1	2025/09/14 12:08:21
167	1	3		2	0	2025/09/14 13:06:49
168	1	3		3	1	2025/09/14 17:06:49
169	1	1		0	0	2025/09/15 07:56:39
170	1	1		1	1	2025/09/15 13:08:29
171	1	1		2	0	2025/09/15 13:44:04
172	1	1		3	1	2025/09/15 17:44:04
173	1	2		0	0	2025/09/15 08:27:31
174	1	2		1	1	2025/09/15 12:51:40
175	1	2		2	0	2025/09/15 13:19:28
176	1	2		3	1	2025/09/15 16:19:28
177	1	3		0	0	2025/09/15 07:59:00
178	1	3		1	1	2025/09/15 13:29:35
179	1	3		2	0	2025/09/15 13:39:55
180	1	3		3	1	2025/09/15 16:39:55
181	1	1		0	0	2025/09/16 08:27:02
182	1	1		1	1	2025/09/16 12:29:07
183	1	1		2	0	2025/09/16 13:09:37
184	1	1		3	1	2025/09/16 15:09:37
185	1	2		0	0	2025/09/16 08:12:24
186	1	2		1	1	2025/09/16 13:15:09
187	1	2		2	0	2025/09/16 13:53:37
188	1	2		3	1	2025/09/16 15:53:37
189	1	3		0	0	2025/09/16 08:17:14
190	1	3		1	1	2025/09/16 13:20:21
191	1	3		2	0	2025/09/16 13:24:52
192	1	3		3	1	2025/09/16 16:24:52
193	1	1		0	0	2025/09/17 08:06:21
194	1	1		1	1	2025/09/17 12:09:17
195	1	1		2	0	2025/09/17 12:21:02
196	1	1		3	1	2025/09/17 15:21:02
197	1	2		0	0	2025/09/17 07:50:07
198	1	2		1	1	2025/09/17 12:02:55
199	1	2		2	0	2025/09/17 12:43:54
200	1	2		3	1	2025/09/17 15:43:54
201	1	3		0	0	2025/09/17 08:16:20
202	1	3		1	1	2025/09/17 12:14:57
203	1	3		2	0	2025/09/17 13:21:41
204	1	3		3	1	2025/09/17 15:21:41
205	1	1		0	0	2025/09/18 08:24:30
206	1	1		1	1	2025/09/18 12:23:45
207	1	1		2	0	2025/09/18 13:24:32
208	1	1		3	1	2025/09/18 17:24:32
209	1	2		0	0	2025/09/18 08:02:00
210	1	2		1	1	2025/09/18 13:13:47
211	1	2		2	0	2025/09/18 13:27:44
212	1	2		3	1	2025/09/18 17:27:44
213	1	3		0	0	2025/09/18 08:24:21
214	1	3		1	1	2025/09/18 13:03:26
215	1	3		2	0	2025/09/18 13:39:58
216	1	3		3	1	2025/09/18 17:39:58
217	1	1		0	0	2025/09/19 08:19:53
218	1	1		1	1	2025/09/19 12:41:18
219	1	1		2	0	2025/09/19 13:56:22
220	1	1		3	1	2025/09/19 15:56:22
221	1	2		0	0	2025/09/19 08:25:52
222	1	2		1	1	2025/09/19 12:42:24
223	1	2		2	0	2025/09/19 13:59:39
224	1	2		3	1	2025/09/19 17:59:39
225	1	3		0	0	2025/09/19 08:27:24
226	1	3		1	1	2025/09/19 12:49:54
227	1	3		2	0	2025/09/19 13:22:30
228	1	3		3	1	2025/09/19 17:22:30
229	1	1		0	0	2025/09/20 08:26:58
230	1	1		1	1	2025/09/20 13:18:30
231	1	1		2	0	2025/09/20 13:48:48
232	1	1		3	1	2025/09/20 15:48:48
233	1	2		0	0	2025/09/20 07:56:16
234	1	2		1	1	2025/09/20 12:25:25
235	1	2		2	0	2025/09/20 13:53:55
236	1	2		3	1	2025/09/20 17:53:55
237	1	3		0	0	2025/09/20 08:05:39
238	1	3		1	1	2025/09/20 12:15:31
239	1	3		2	0	2025/09/20 13:31:15
240	1	3		3	1	2025/09/20 16:31:15
241	1	1		0	0	2025/09/21 08:00:59
242	1	1		1	1	2025/09/21 12:17:49
243	1	1		2	0	2025/09/21 12:58:14
244	1	1		3	1	2025/09/21 14:58:14
245	1	2		0	0	2025/09/21 08:02:18
246	1	2		1	1	2025/09/21 12:31:14
247	1	2		2	0	2025/09/21 13:30:46
248	1	2		3	1	2025/09/21 17:30:46
249	1	3		0	0	2025/09/21 08:25:13
250	1	3		1	1	2025/09/21 13:15:23
251	1	3		2	0	2025/09/21 13:58:44
252	1	3		3	1	2025/09/21 15:58:44
253	1	1		0	0	2025/09/22 08:29:13
254	1	1		1	1	2025/09/22 12:48:08
255	1	1		2	0	2025/09/22 13:06:04
256	1	1		3	1	2025/09/22 15:06:04
257	1	2		0	0	2025/09/22 08:14:53
258	1	2		1	1	2025/09/22 12:58:24
259	1	2		2	0	2025/09/22 13:42:59
260	1	2		3	1	2025/09/22 16:42:59
261	1	3		0	0	2025/09/22 07:58:21
262	1	3		1	1	2025/09/22 12:17:21
263	1	3		2	0	2025/09/22 13:16:04
264	1	3		3	1	2025/09/22 16:16:04
265	1	1		0	0	2025/09/23 08:06:20
266	1	1		1	1	2025/09/23 12:58:33
267	1	1		2	0	2025/09/23 13:34:02
268	1	1		3	1	2025/09/23 17:34:02
269	1	2		0	0	2025/09/23 08:23:45
270	1	2		1	1	2025/09/23 13:10:50
271	1	2		2	0	2025/09/23 13:21:42
272	1	2		3	1	2025/09/23 15:21:42
273	1	3		0	0	2025/09/23 08:22:58
274	1	3		1	1	2025/09/23 12:35:41
275	1	3		2	0	2025/09/23 12:59:15
276	1	3		3	1	2025/09/23 14:59:15
277	1	1		0	0	2025/09/24 08:29:37
278	1	1		1	1	2025/09/24 12:45:14
279	1	1		2	0	2025/09/24 12:48:32
280	1	1		3	1	2025/09/24 14:48:32
281	1	2		0	0	2025/09/24 08:03:11
282	1	2		1	1	2025/09/24 12:43:53
283	1	2		2	0	2025/09/24 13:21:02
284	1	2		3	1	2025/09/24 15:21:02
285	1	3		0	0	2025/09/24 07:51:38
286	1	3		1	1	2025/09/24 12:27:51
287	1	3		2	0	2025/09/24 13:23:37
288	1	3		3	1	2025/09/24 15:23:37
289	1	1		0	0	2025/09/25 08:24:43
290	1	1		1	1	2025/09/25 12:02:56
291	1	1		2	0	2025/09/25 12:42:37
292	1	1		3	1	2025/09/25 15:42:37
293	1	2		0	0	2025/09/25 07:50:35
294	1	2		1	1	2025/09/25 12:36:12
295	1	2		2	0	2025/09/25 12:38:34
296	1	2		3	1	2025/09/25 15:38:34
297	1	3		0	0	2025/09/25 08:20:50
298	1	3		1	1	2025/09/25 13:05:47
299	1	3		2	0	2025/09/25 13:33:16
300	1	3		3	1	2025/09/25 17:33:16
301	1	1		0	0	2025/09/26 07:59:40
302	1	1		1	1	2025/09/26 12:22:49
303	1	1		2	0	2025/09/26 12:38:04
304	1	1		3	1	2025/09/26 14:38:04
305	1	2		0	0	2025/09/26 07:56:17
306	1	2		1	1	2025/09/26 12:50:23
307	1	2		2	0	2025/09/26 13:51:28
308	1	2		3	1	2025/09/26 15:51:28
309	1	3		0	0	2025/09/26 07:50:15
310	1	3		1	1	2025/09/26 12:11:58
311	1	3		2	0	2025/09/26 13:43:12
312	1	3		3	1	2025/09/26 16:43:12
313	1	1		0	0	2025/09/27 08:07:52
314	1	1		1	1	2025/09/27 12:30:43
315	1	1		2	0	2025/09/27 12:36:01
316	1	1		3	1	2025/09/27 16:36:01
317	1	2		0	0	2025/09/27 08:27:16
318	1	2		1	1	2025/09/27 13:08:59
319	1	2		2	0	2025/09/27 13:12:52
320	1	2		3	1	2025/09/27 15:12:52
321	1	3		0	0	2025/09/27 08:08:37
322	1	3		1	1	2025/09/27 13:21:17
323	1	3		2	0	2025/09/27 13:44:02
324	1	3		3	1	2025/09/27 15:44:02
325	1	1		0	0	2025/09/28 08:19:41
326	1	1		1	1	2025/09/28 13:04:06
327	1	1		2	0	2025/09/28 13:29:48
328	1	1		3	1	2025/09/28 16:29:48
329	1	2		0	0	2025/09/28 08:15:11
330	1	2		1	1	2025/09/28 13:29:11
331	1	2		2	0	2025/09/28 13:58:21
332	1	2		3	1	2025/09/28 17:58:21
333	1	3		0	0	2025/09/28 08:28:29
334	1	3		1	1	2025/09/28 12:57:30
335	1	3		2	0	2025/09/28 13:19:39
336	1	3		3	1	2025/09/28 15:19:39
337	1	1		0	0	2025/09/29 08:05:17
338	1	1		1	1	2025/09/29 12:57:18
339	1	1		2	0	2025/09/29 13:45:47
340	1	1		3	1	2025/09/29 17:45:47
341	1	2		0	0	2025/09/29 08:04:53
342	1	2		1	1	2025/09/29 12:54:44
343	1	2		2	0	2025/09/29 13:35:19
344	1	2		3	1	2025/09/29 17:35:19
345	1	3		0	0	2025/09/29 08:14:39
346	1	3		1	1	2025/09/29 13:28:19
347	1	3		2	0	2025/09/29 13:47:08
348	1	3		3	1	2025/09/29 15:47:08
349	1	1		0	0	2025/09/30 07:58:03
350	1	1		1	1	2025/09/30 12:54:20
351	1	1		2	0	2025/09/30 13:22:52
352	1	1		3	1	2025/09/30 15:22:52
353	1	2		0	0	2025/09/30 07:50:43
354	1	2		1	1	2025/09/30 12:45:46
355	1	2		2	0	2025/09/30 13:56:32
356	1	2		3	1	2025/09/30 16:56:32
357	1	3		0	0	2025/09/30 08:17:24
358	1	3		1	1	2025/09/30 12:01:29
359	1	3		2	0	2025/09/30 12:13:45
360	1	3		3	1	2025/09/30 16:13:45
